candidate_index,source,objective_avg_total_time,best_so_far_avg_total_time,weights_json,waiting,maneuver,exit_competition,path_conflict,approach_queue
22,bottleneck_profile,49.95,49.95,"{""approach_queue"": 0.0, ""exit_competition"": 1.2, ""maneuver"": 0.0, ""path_conflict"": 2.4, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.8}",1.8,0.0,1.2,2.4,0.0
23,bottleneck_profile,51.87,49.95,"{""approach_queue"": 1.4, ""exit_competition"": 1.8, ""maneuver"": 1.4, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.5}",0.5,1.4,1.8,1.0,1.4
24,bottleneck_profile,50.14,49.95,"{""approach_queue"": 1.6, ""exit_competition"": 0.6, ""maneuver"": 0.7, ""path_conflict"": 2.4, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.1}",1.1,0.7,0.6,2.4,1.6
25,bottleneck_profile,50.25,49.95,"{""approach_queue"": 1.5, ""exit_competition"": 1.6, ""maneuver"": 0.5, ""path_conflict"": 0.8, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.3}",1.3,0.5,1.6,0.8,1.5
26,precomposed_plausible_set,51.04,49.95,"{""approach_queue"": 0.88, ""exit_competition"": 1.22, ""maneuver"": 0.63, ""path_conflict"": 2.27, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.49}",0.49,0.63,1.22,2.27,0.88
27,precomposed_plausible_set,50.33,49.95,"{""approach_queue"": 1.55, ""exit_competition"": 0.87, ""maneuver"": 0.99, ""path_conflict"": 1.21, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.11}",1.11,0.99,0.87,1.21,1.55
28,precomposed_plausible_set,51.61,49.95,"{""approach_queue"": 0.88, ""exit_competition"": 1.13, ""maneuver"": 1.03, ""path_conflict"": 2.04, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.49}",0.49,1.03,1.13,2.04,0.88
29,precomposed_plausible_set,50.27,49.95,"{""approach_queue"": 0.81, ""exit_competition"": 1.32, ""maneuver"": 0.72, ""path_conflict"": 2.21, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.05}",1.05,0.72,1.32,2.21,0.81
30,precomposed_plausible_set,50.99,49.95,"{""approach_queue"": 0.74, ""exit_competition"": 1.25, ""maneuver"": 1.04, ""path_conflict"": 1.82, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.9}",0.9,1.04,1.25,1.82,0.74
31,precomposed_plausible_set,50.13,49.95,"{""approach_queue"": 0.54, ""exit_competition"": 1.29, ""maneuver"": 0.52, ""path_conflict"": 1.37, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.32}",1.32,0.52,1.29,1.37,0.54
32,precomposed_plausible_set,50.27,49.95,"{""approach_queue"": 1.46, ""exit_competition"": 1.51, ""maneuver"": 0.64, ""path_conflict"": 1.03, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.6}",1.6,0.64,1.51,1.03,1.46
33,precomposed_plausible_set,50.78,49.95,"{""approach_queue"": 0.49, ""exit_competition"": 0.96, ""maneuver"": 1.3, ""path_conflict"": 1.85, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.01}",1.01,1.3,0.96,1.85,0.49
34,precomposed_plausible_set,50.74,49.95,"{""approach_queue"": 0.84, ""exit_competition"": 1.25, ""maneuver"": 0.83, ""path_conflict"": 1.76, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.73}",0.73,0.83,1.25,1.76,0.84
35,precomposed_plausible_set,50.27,49.95,"{""approach_queue"": 0.71, ""exit_competition"": 0.72, ""maneuver"": 1.1, ""path_conflict"": 1.99, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.3}",1.3,1.1,0.72,1.99,0.71
36,precomposed_plausible_set,50.13,49.95,"{""approach_queue"": 1.58, ""exit_competition"": 1.04, ""maneuver"": 0.34, ""path_conflict"": 2.14, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.31}",1.31,0.34,1.04,2.14,1.58
37,precomposed_plausible_set,50.16,49.95,"{""approach_queue"": 0.75, ""exit_competition"": 1.94, ""maneuver"": 0.72, ""path_conflict"": 2.11, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.38}",1.38,0.72,1.94,2.11,0.75
38,precomposed_plausible_set,50.07,49.95,"{""approach_queue"": 1.06, ""exit_competition"": 1.37, ""maneuver"": 0.4, ""path_conflict"": 1.72, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.28}",1.28,0.4,1.37,1.72,1.06
