run_index,scenario_seed,allocation_json,spawn_plan_json,goal_plan_json,fcfs_total_time,fixed_heuristic_total_time,bo_heuristic_total_time,best_policy,best_total_time,second_best_total_time,margin_to_second,is_tie
34,30034,"{""EAST"": 3, ""NORTH"": 3, ""SOUTH"": 6, ""WEST"": 4}","{""EAST"": [3, 5, 7], ""NORTH"": [0, 6, 6], ""SOUTH"": [0, 1, 2, 4, 5, 6], ""WEST"": [2, 2, 5, 5]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT""]}",53,48,49,fixed_heuristic,48,49,1,False
35,30035,"{""EAST"": 5, ""NORTH"": 2, ""SOUTH"": 6, ""WEST"": 3}","{""EAST"": [3, 4, 7, 7, 7], ""NORTH"": [4, 6], ""SOUTH"": [4, 4, 6, 6, 7, 8], ""WEST"": [0, 0, 1]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT""]}",60,54,54,"fixed_heuristic,bo_heuristic",54,54,0,True
36,30036,"{""EAST"": 4, ""NORTH"": 6, ""SOUTH"": 4, ""WEST"": 2}","{""EAST"": [4, 6, 6, 7], ""NORTH"": [0, 1, 2, 3, 6, 7], ""SOUTH"": [2, 4, 5, 8], ""WEST"": [1, 5]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT""]}",59,56,56,"fixed_heuristic,bo_heuristic",56,56,0,True
37,30037,"{""EAST"": 5, ""NORTH"": 2, ""SOUTH"": 3, ""WEST"": 6}","{""EAST"": [1, 1, 4, 4, 7], ""NORTH"": [7, 8], ""SOUTH"": [0, 2, 8], ""WEST"": [0, 1, 2, 3, 3, 6]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT""]}",55,50,49,bo_heuristic,49,50,1,False
38,30038,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [2, 4, 7, 8], ""NORTH"": [1, 6, 7, 7], ""SOUTH"": [6, 6, 6, 7], ""WEST"": [0, 3, 3, 5]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT""]}",57,52,51,bo_heuristic,51,52,1,False
39,30039,"{""EAST"": 3, ""NORTH"": 3, ""SOUTH"": 6, ""WEST"": 4}","{""EAST"": [4, 4, 4], ""NORTH"": [3, 3, 5], ""SOUTH"": [1, 3, 6, 7, 8, 8], ""WEST"": [5, 6, 8, 8]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT""]}",50,48,48,"fixed_heuristic,bo_heuristic",48,48,0,True
40,30040,"{""EAST"": 4, ""NORTH"": 3, ""SOUTH"": 5, ""WEST"": 4}","{""EAST"": [0, 1, 3, 8], ""NORTH"": [0, 1, 2], ""SOUTH"": [0, 3, 6, 7, 8], ""WEST"": [1, 1, 7, 8]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""E_EXIT""]}",46,43,42,bo_heuristic,42,43,1,False
41,30041,"{""EAST"": 3, ""NORTH"": 5, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [0, 2, 6], ""NORTH"": [1, 4, 5, 5, 6], ""SOUTH"": [1, 1, 3, 8], ""WEST"": [3, 4, 8, 8]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}",51,51,51,"fcfs,fixed_heuristic,bo_heuristic",51,51,0,True
42,30042,"{""EAST"": 4, ""NORTH"": 5, ""SOUTH"": 2, ""WEST"": 5}","{""EAST"": [0, 0, 4, 5], ""NORTH"": [0, 0, 2, 7, 7], ""SOUTH"": [4, 6], ""WEST"": [0, 1, 1, 5, 7]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT""]}",55,48,50,fixed_heuristic,48,50,2,False
43,30043,"{""EAST"": 2, ""NORTH"": 3, ""SOUTH"": 5, ""WEST"": 6}","{""EAST"": [2, 7], ""NORTH"": [1, 5, 7], ""SOUTH"": [2, 4, 6, 6, 8], ""WEST"": [0, 1, 1, 4, 8, 8]}","{""EAST"": [""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""]}",57,55,55,"fixed_heuristic,bo_heuristic",55,55,0,True
44,30044,"{""EAST"": 3, ""NORTH"": 3, ""SOUTH"": 4, ""WEST"": 6}","{""EAST"": [0, 3, 3], ""NORTH"": [4, 7, 8], ""SOUTH"": [0, 1, 4, 4], ""WEST"": [0, 0, 1, 4, 7, 8]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""E_EXIT""]}",58,52,51,bo_heuristic,51,52,1,False
45,30045,"{""EAST"": 3, ""NORTH"": 4, ""SOUTH"": 5, ""WEST"": 4}","{""EAST"": [1, 2, 2], ""NORTH"": [1, 1, 5, 5], ""SOUTH"": [1, 3, 4, 5, 6], ""WEST"": [1, 5, 6, 7]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT""]}",45,41,44,fixed_heuristic,41,44,3,False
46,30046,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 5, ""WEST"": 3}","{""EAST"": [0, 1, 5, 7], ""NORTH"": [1, 2, 3, 8], ""SOUTH"": [0, 5, 8, 8, 8], ""WEST"": [0, 0, 2]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT""]}",56,50,50,"fixed_heuristic,bo_heuristic",50,50,0,True
47,30047,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 3, ""WEST"": 5}","{""EAST"": [0, 0, 5, 7], ""NORTH"": [1, 3, 5, 5], ""SOUTH"": [1, 2, 6], ""WEST"": [1, 1, 4, 5, 6]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""]}",60,48,48,"fixed_heuristic,bo_heuristic",48,48,0,True
48,30048,"{""EAST"": 3, ""NORTH"": 3, ""SOUTH"": 6, ""WEST"": 4}","{""EAST"": [3, 3, 6], ""NORTH"": [0, 6, 7], ""SOUTH"": [2, 2, 4, 6, 7, 7], ""WEST"": [0, 1, 2, 5]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT""]}",54,46,50,fixed_heuristic,46,50,4,False
49,30049,"{""EAST"": 3, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 5}","{""EAST"": [6, 6, 7], ""NORTH"": [1, 4, 6, 8], ""SOUTH"": [1, 6, 6, 7], ""WEST"": [0, 3, 5, 6, 8]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""]}",58,55,55,"fixed_heuristic,bo_heuristic",55,55,0,True
50,30050,"{""EAST"": 5, ""NORTH"": 3, ""SOUTH"": 5, ""WEST"": 3}","{""EAST"": [4, 4, 5, 5, 7], ""NORTH"": [0, 1, 6], ""SOUTH"": [0, 2, 4, 5, 8], ""WEST"": [3, 5, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT""]}",53,50,49,bo_heuristic,49,50,1,False
51,30051,"{""EAST"": 2, ""NORTH"": 4, ""SOUTH"": 5, ""WEST"": 5}","{""EAST"": [7, 7], ""NORTH"": [0, 1, 2, 6], ""SOUTH"": [2, 3, 5, 6, 7], ""WEST"": [1, 3, 4, 6, 7]}","{""EAST"": [""N_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT""]}",54,55,53,bo_heuristic,53,54,1,False
52,30052,"{""EAST"": 2, ""NORTH"": 2, ""SOUTH"": 6, ""WEST"": 6}","{""EAST"": [1, 3], ""NORTH"": [1, 3], ""SOUTH"": [2, 4, 5, 6, 6, 7], ""WEST"": [4, 4, 5, 5, 7, 8]}","{""EAST"": [""S_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT""]}",52,52,50,bo_heuristic,50,52,2,False
53,30053,"{""EAST"": 4, ""NORTH"": 5, ""SOUTH"": 4, ""WEST"": 3}","{""EAST"": [5, 8, 8, 8], ""NORTH"": [0, 2, 3, 3, 4], ""SOUTH"": [4, 5, 7, 8], ""WEST"": [1, 4, 4]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT""]}",52,52,51,bo_heuristic,51,52,1,False
54,30054,"{""EAST"": 3, ""NORTH"": 5, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [0, 4, 8], ""NORTH"": [2, 2, 4, 5, 6], ""SOUTH"": [1, 3, 6, 8], ""WEST"": [1, 1, 4, 5]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""]}",58,52,51,bo_heuristic,51,52,1,False
55,30055,"{""EAST"": 3, ""NORTH"": 6, ""SOUTH"": 4, ""WEST"": 3}","{""EAST"": [2, 6, 7], ""NORTH"": [0, 4, 6, 6, 6, 8], ""SOUTH"": [2, 3, 5, 8], ""WEST"": [1, 4, 7]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT""]}",61,54,51,bo_heuristic,51,54,3,False
56,30056,"{""EAST"": 3, ""NORTH"": 5, ""SOUTH"": 2, ""WEST"": 6}","{""EAST"": [0, 3, 8], ""NORTH"": [2, 2, 5, 6, 8], ""SOUTH"": [2, 5], ""WEST"": [0, 4, 5, 5, 6, 6]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT""]}",58,49,49,"fixed_heuristic,bo_heuristic",49,49,0,True
57,30057,"{""EAST"": 5, ""NORTH"": 2, ""SOUTH"": 3, ""WEST"": 6}","{""EAST"": [0, 5, 6, 7, 7], ""NORTH"": [3, 4], ""SOUTH"": [1, 3, 8], ""WEST"": [0, 1, 1, 3, 5, 7]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""E_EXIT""]}",56,43,43,"fixed_heuristic,bo_heuristic",43,43,0,True
58,30058,"{""EAST"": 3, ""NORTH"": 6, ""SOUTH"": 5, ""WEST"": 2}","{""EAST"": [0, 5, 5], ""NORTH"": [0, 2, 4, 4, 7, 8], ""SOUTH"": [0, 2, 4, 4, 5], ""WEST"": [2, 7]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT""]}",52,47,47,"fixed_heuristic,bo_heuristic",47,47,0,True
59,30059,"{""EAST"": 6, ""NORTH"": 2, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [1, 2, 2, 4, 7, 8], ""NORTH"": [4, 8], ""SOUTH"": [0, 4, 5, 6], ""WEST"": [0, 3, 3, 7]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""]}",54,41,41,"fixed_heuristic,bo_heuristic",41,41,0,True
60,30060,"{""EAST"": 3, ""NORTH"": 6, ""SOUTH"": 2, ""WEST"": 5}","{""EAST"": [1, 2, 4], ""NORTH"": [1, 1, 2, 6, 6, 7], ""SOUTH"": [2, 6], ""WEST"": [0, 1, 4, 8, 8]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}",57,49,49,"fixed_heuristic,bo_heuristic",49,49,0,True
61,30061,"{""EAST"": 6, ""NORTH"": 3, ""SOUTH"": 4, ""WEST"": 3}","{""EAST"": [0, 1, 6, 7, 7, 8], ""NORTH"": [3, 4, 6], ""SOUTH"": [2, 4, 6, 6], ""WEST"": [0, 0, 5]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}",58,55,55,"fixed_heuristic,bo_heuristic",55,55,0,True
62,30062,"{""EAST"": 3, ""NORTH"": 2, ""SOUTH"": 6, ""WEST"": 5}","{""EAST"": [1, 3, 6], ""NORTH"": [1, 2], ""SOUTH"": [0, 2, 3, 4, 8, 8], ""WEST"": [0, 0, 5, 6, 7]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""]}",49,42,44,fixed_heuristic,42,44,2,False
63,30063,"{""EAST"": 3, ""NORTH"": 5, ""SOUTH"": 5, ""WEST"": 3}","{""EAST"": [0, 0, 2], ""NORTH"": [1, 4, 5, 6, 8], ""SOUTH"": [0, 4, 4, 8, 8], ""WEST"": [0, 1, 3]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""E_EXIT""]}",50,46,47,fixed_heuristic,46,47,1,False
64,30064,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [0, 3, 3, 4], ""NORTH"": [2, 4, 6, 8], ""SOUTH"": [0, 4, 6, 8], ""WEST"": [0, 5, 6, 8]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}",47,44,43,bo_heuristic,43,44,1,False
65,30065,"{""EAST"": 3, ""NORTH"": 5, ""SOUTH"": 6, ""WEST"": 2}","{""EAST"": [1, 2, 7], ""NORTH"": [0, 2, 3, 5, 8], ""SOUTH"": [0, 2, 5, 5, 6, 7], ""WEST"": [1, 4]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT""]}",57,50,50,"fixed_heuristic,bo_heuristic",50,50,0,True
66,30066,"{""EAST"": 3, ""NORTH"": 4, ""SOUTH"": 5, ""WEST"": 4}","{""EAST"": [1, 7, 8], ""NORTH"": [1, 3, 5, 8], ""SOUTH"": [2, 3, 5, 5, 5], ""WEST"": [0, 1, 2, 7]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}",55,49,51,fixed_heuristic,49,51,2,False
67,30067,"{""EAST"": 3, ""NORTH"": 4, ""SOUTH"": 5, ""WEST"": 4}","{""EAST"": [0, 2, 4], ""NORTH"": [2, 2, 5, 5], ""SOUTH"": [0, 2, 3, 5, 7], ""WEST"": [3, 4, 7, 7]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT""]}",57,54,54,"fixed_heuristic,bo_heuristic",54,54,0,True
68,30068,"{""EAST"": 3, ""NORTH"": 5, ""SOUTH"": 5, ""WEST"": 3}","{""EAST"": [3, 4, 5], ""NORTH"": [1, 1, 6, 8, 8], ""SOUTH"": [0, 1, 2, 4, 8], ""WEST"": [2, 2, 5]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}",55,45,46,fixed_heuristic,45,46,1,False
69,30069,"{""EAST"": 6, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 2}","{""EAST"": [0, 0, 2, 4, 5, 6], ""NORTH"": [0, 3, 5, 7], ""SOUTH"": [2, 4, 4, 4], ""WEST"": [3, 5]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT""]}",53,48,48,"fixed_heuristic,bo_heuristic",48,48,0,True
70,30070,"{""EAST"": 5, ""NORTH"": 5, ""SOUTH"": 2, ""WEST"": 4}","{""EAST"": [0, 0, 4, 6, 8], ""NORTH"": [0, 1, 1, 7, 7], ""SOUTH"": [4, 8], ""WEST"": [6, 6, 7, 8]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT""]}",49,48,45,bo_heuristic,45,48,3,False
71,30071,"{""EAST"": 3, ""NORTH"": 3, ""SOUTH"": 4, ""WEST"": 6}","{""EAST"": [7, 7, 7], ""NORTH"": [6, 7, 8], ""SOUTH"": [3, 4, 6, 8], ""WEST"": [0, 1, 3, 3, 5, 8]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT""]}",50,43,43,"fixed_heuristic,bo_heuristic",43,43,0,True
72,30072,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [5, 6, 6, 6], ""NORTH"": [2, 4, 6, 7], ""SOUTH"": [1, 3, 7, 7], ""WEST"": [0, 3, 4, 5]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT""]}",58,50,50,"fixed_heuristic,bo_heuristic",50,50,0,True
