run_index,scenario_seed,allocation_json,spawn_plan_json,goal_plan_json,fcfs_total_time,fixed_heuristic_total_time,bo_heuristic_total_time,best_policy,best_total_time,second_best_total_time,margin_to_second,is_tie
10,30010,"{""EAST"": 2, ""NORTH"": 6, ""SOUTH"": 5, ""WEST"": 3}","{""EAST"": [4, 5], ""NORTH"": [1, 3, 4, 6, 7, 8], ""SOUTH"": [0, 2, 2, 3, 4], ""WEST"": [2, 5, 6]}","{""EAST"": [""N_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT""]}",50,46,46,"fixed_heuristic,bo_heuristic",46,46,0,True
11,30011,"{""EAST"": 4, ""NORTH"": 5, ""SOUTH"": 3, ""WEST"": 4}","{""EAST"": [0, 3, 5, 5], ""NORTH"": [3, 3, 4, 7, 8], ""SOUTH"": [0, 4, 7], ""WEST"": [1, 2, 8, 8]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""N_EXIT""]}",54,45,47,fixed_heuristic,45,47,2,False
12,30012,"{""EAST"": 6, ""NORTH"": 4, ""SOUTH"": 3, ""WEST"": 3}","{""EAST"": [3, 3, 4, 4, 5, 8], ""NORTH"": [0, 6, 6, 7], ""SOUTH"": [5, 5, 5], ""WEST"": [3, 4, 8]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}",66,57,57,"fixed_heuristic,bo_heuristic",57,57,0,True
13,30013,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [0, 0, 2, 6], ""NORTH"": [3, 4, 5, 7], ""SOUTH"": [0, 0, 3, 8], ""WEST"": [0, 2, 7, 8]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}",58,52,52,"fixed_heuristic,bo_heuristic",52,52,0,True
14,30014,"{""EAST"": 6, ""NORTH"": 2, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [0, 1, 1, 3, 3, 4], ""NORTH"": [2, 3], ""SOUTH"": [1, 1, 4, 8], ""WEST"": [1, 1, 5, 6]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""]}",59,51,51,"fixed_heuristic,bo_heuristic",51,51,0,True
15,30015,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [3, 5, 6, 7], ""NORTH"": [3, 4, 7, 8], ""SOUTH"": [1, 1, 5, 5], ""WEST"": [0, 1, 3, 4]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}",56,48,47,bo_heuristic,47,48,1,False
16,30016,"{""EAST"": 3, ""NORTH"": 4, ""SOUTH"": 6, ""WEST"": 3}","{""EAST"": [0, 3, 4], ""NORTH"": [1, 1, 1, 8], ""SOUTH"": [1, 3, 3, 4, 5, 6], ""WEST"": [4, 6, 7]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT""]}",53,50,50,"fixed_heuristic,bo_heuristic",50,50,0,True
17,30017,"{""EAST"": 6, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 2}","{""EAST"": [3, 4, 7, 8, 8, 8], ""NORTH"": [4, 5, 6, 8], ""SOUTH"": [1, 4, 4, 5], ""WEST"": [1, 5]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT""]}",55,51,47,bo_heuristic,47,51,4,False
18,30018,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 3, ""WEST"": 5}","{""EAST"": [0, 2, 5, 7], ""NORTH"": [2, 4, 5, 6], ""SOUTH"": [1, 3, 5], ""WEST"": [2, 4, 4, 5, 7]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}",54,47,45,bo_heuristic,45,47,2,False
19,30019,"{""EAST"": 3, ""NORTH"": 6, ""SOUTH"": 3, ""WEST"": 4}","{""EAST"": [0, 5, 5], ""NORTH"": [0, 3, 4, 5, 7, 8], ""SOUTH"": [0, 1, 4], ""WEST"": [3, 3, 5, 6]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""]}",57,53,56,fixed_heuristic,53,56,3,False
20,30020,"{""EAST"": 3, ""NORTH"": 3, ""SOUTH"": 5, ""WEST"": 5}","{""EAST"": [4, 5, 6], ""NORTH"": [0, 5, 6], ""SOUTH"": [5, 6, 8, 8, 8], ""WEST"": [3, 3, 6, 7, 8]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT""]}",50,52,52,fcfs,50,52,2,False
21,30021,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 5, ""WEST"": 3}","{""EAST"": [4, 5, 6, 7], ""NORTH"": [1, 4, 5, 8], ""SOUTH"": [0, 2, 2, 3, 3], ""WEST"": [3, 5, 6]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}",63,58,57,bo_heuristic,57,58,1,False
22,30022,"{""EAST"": 3, ""NORTH"": 4, ""SOUTH"": 3, ""WEST"": 6}","{""EAST"": [6, 6, 7], ""NORTH"": [0, 2, 3, 3], ""SOUTH"": [0, 4, 7], ""WEST"": [4, 5, 6, 7, 7, 8]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""]}",69,59,59,"fixed_heuristic,bo_heuristic",59,59,0,True
23,30023,"{""EAST"": 4, ""NORTH"": 5, ""SOUTH"": 3, ""WEST"": 4}","{""EAST"": [4, 5, 6, 7], ""NORTH"": [0, 1, 6, 6, 8], ""SOUTH"": [3, 5, 7], ""WEST"": [1, 5, 6, 6]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT""]}",47,44,45,fixed_heuristic,44,45,1,False
