run_index,scenario_seed,fcfs_total_time,fixed_heuristic_total_time,bo_heuristic_total_time,best_policy,num_best_policies,fixed_minus_fcfs,fixed_improvement_pct_vs_fcfs,bo_minus_fcfs,bo_improvement_pct_vs_fcfs,bo_minus_fixed,bo_improvement_pct_vs_fixed
55,30055,61,54,51,bo_heuristic,1,-7,11.475409836065573,-10,16.39344262295082,-3,5.555555555555555
56,30056,58,49,49,"fixed_heuristic,bo_heuristic",2,-9,15.517241379310345,-9,15.517241379310345,0,0.0
57,30057,56,43,43,"fixed_heuristic,bo_heuristic",2,-13,23.214285714285715,-13,23.214285714285715,0,0.0
58,30058,52,47,47,"fixed_heuristic,bo_heuristic",2,-5,9.615384615384617,-5,9.615384615384617,0,0.0
59,30059,54,41,41,"fixed_heuristic,bo_heuristic",2,-13,24.074074074074073,-13,24.074074074074073,0,0.0
60,30060,57,49,49,"fixed_heuristic,bo_heuristic",2,-8,14.035087719298245,-8,14.035087719298245,0,0.0
61,30061,58,55,55,"fixed_heuristic,bo_heuristic",2,-3,5.172413793103448,-3,5.172413793103448,0,0.0
62,30062,49,42,44,fixed_heuristic,1,-7,14.285714285714285,-5,10.204081632653061,2,-4.761904761904762
63,30063,50,46,47,fixed_heuristic,1,-4,8.0,-3,6.0,1,-2.1739130434782608
64,30064,47,44,43,bo_heuristic,1,-3,6.382978723404255,-4,8.51063829787234,-1,2.272727272727273
65,30065,57,50,50,"fixed_heuristic,bo_heuristic",2,-7,12.280701754385964,-7,12.280701754385964,0,0.0
66,30066,55,49,51,fixed_heuristic,1,-6,10.909090909090908,-4,7.2727272727272725,2,-4.081632653061225
67,30067,57,54,54,"fixed_heuristic,bo_heuristic",2,-3,5.263157894736842,-3,5.263157894736842,0,0.0
68,30068,55,45,46,fixed_heuristic,1,-10,18.181818181818183,-9,16.363636363636363,1,-2.2222222222222223
69,30069,53,48,48,"fixed_heuristic,bo_heuristic",2,-5,9.433962264150944,-5,9.433962264150944,0,0.0
70,30070,49,48,45,bo_heuristic,1,-1,2.0408163265306123,-4,8.16326530612245,-3,6.25
71,30071,50,43,43,"fixed_heuristic,bo_heuristic",2,-7,14.000000000000002,-7,14.000000000000002,0,0.0
72,30072,58,50,50,"fixed_heuristic,bo_heuristic",2,-8,13.793103448275861,-8,13.793103448275861,0,0.0
73,30073,58,54,53,bo_heuristic,1,-4,6.896551724137931,-5,8.620689655172415,-1,1.8518518518518516
74,30074,51,45,50,fixed_heuristic,1,-6,11.76470588235294,-1,1.9607843137254901,5,-11.11111111111111
75,30075,42,38,40,fixed_heuristic,1,-4,9.523809523809524,-2,4.761904761904762,2,-5.263157894736842
76,30076,51,49,46,bo_heuristic,1,-2,3.9215686274509802,-5,9.803921568627452,-3,6.122448979591836
77,30077,49,43,40,bo_heuristic,1,-6,12.244897959183673,-9,18.367346938775512,-3,6.976744186046512
78,30078,63,55,55,"fixed_heuristic,bo_heuristic",2,-8,12.698412698412698,-8,12.698412698412698,0,0.0
79,30079,60,52,52,"fixed_heuristic,bo_heuristic",2,-8,13.333333333333334,-8,13.333333333333334,0,0.0
80,30080,51,51,51,"fcfs,fixed_heuristic,bo_heuristic",3,0,0.0,0,0.0,0,0.0
81,30081,56,53,53,"fixed_heuristic,bo_heuristic",2,-3,5.357142857142857,-3,5.357142857142857,0,0.0
82,30082,51,46,50,fixed_heuristic,1,-5,9.803921568627452,-1,1.9607843137254901,4,-8.695652173913043
83,30083,50,46,45,bo_heuristic,1,-4,8.0,-5,10.0,-1,2.1739130434782608
84,30084,50,48,46,bo_heuristic,1,-2,4.0,-4,8.0,-2,4.166666666666666
