trial_index,source,objective_avg_total_time,best_so_far_avg_total_time,weights_json,gp_mu,gp_sigma,lcb,waiting,maneuver,exit_competition,path_conflict,approach_queue
17,random,50.07,49.69,"{""approach_queue"": -0.38922935359373945, ""exit_competition"": -2.4345917768501595, ""maneuver"": -0.973072624768724, ""path_conflict"": 2.3588383728257347, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.8184987270181282}",nan,nan,nan,0.8184987270181282,-0.973072624768724,-2.4345917768501595,2.3588383728257347,-0.38922935359373945
18,random,50.02,49.69,"{""approach_queue"": -2.1436186533723234, ""exit_competition"": 2.0091703464694497, ""maneuver"": -1.7175769263188672, ""path_conflict"": 0.3166914690329774, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.4791303063576319}",nan,nan,nan,0.4791303063576319,-1.7175769263188672,2.0091703464694497,0.3166914690329774,-2.1436186533723234
19,random,50.13,49.69,"{""approach_queue"": -1.995323374771124, ""exit_competition"": -2.447659489446451, ""maneuver"": -0.8881179083618012, ""path_conflict"": 0.2605828757621125, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.2927002163077772}",nan,nan,nan,1.2927002163077772,-0.8881179083618012,-2.447659489446451,0.2605828757621125,-1.995323374771124
20,random,50.28,49.69,"{""approach_queue"": -2.3171873162283454, ""exit_competition"": -1.054559748641718, ""maneuver"": -1.4501929314117605, ""path_conflict"": 1.8378556926510532, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.5276322364912056}",nan,nan,nan,0.5276322364912056,-1.4501929314117605,-1.054559748641718,1.8378556926510532,-2.3171873162283454
21,lcb,49.85,49.69,"{""approach_queue"": 0.8515136082350208, ""exit_competition"": -1.3693636244709007, ""maneuver"": -1.3987407900919688, ""path_conflict"": 1.036062407636293, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.4051021787057}",49.6650566135281,0.392438984287293,48.48773966066622,2.4051021787057,-1.3987407900919688,-1.3693636244709007,1.036062407636293,0.8515136082350208
22,lcb,50.21,49.69,"{""approach_queue"": -2.0222089949180293, ""exit_competition"": 2.2133154394097234, ""maneuver"": -1.150991739934471, ""path_conflict"": 2.5755745261987926, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.053808637731171394}",49.70194436835827,0.33339741853419946,48.70175211275567,0.053808637731171394,-1.150991739934471,2.2133154394097234,2.5755745261987926,-2.0222089949180293
23,lcb,49.87,49.69,"{""approach_queue"": -2.3407419933239275, ""exit_competition"": -2.2238492675783634, ""maneuver"": -1.8903529741760394, ""path_conflict"": -0.8023356213547403, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.2919574494859276}",49.91703150505409,0.3678558180081134,48.81346405102975,2.2919574494859276,-1.8903529741760394,-2.2238492675783634,-0.8023356213547403,-2.3407419933239275
24,lcb,49.82,49.69,"{""approach_queue"": -2.1822466458382044, ""exit_competition"": -2.0581946576635426, ""maneuver"": -1.6275586953445544, ""path_conflict"": 1.669000046517176, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.3863194254555444}",49.85877589614062,0.34114493165473075,48.835341101176425,2.3863194254555444,-1.6275586953445544,-2.0581946576635426,1.669000046517176,-2.1822466458382044
25,lcb,50.41,49.69,"{""approach_queue"": 1.6634524957209935, ""exit_competition"": 2.3159679844796592, ""maneuver"": 1.9147171991401883, ""path_conflict"": 0.35400368921465875, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.3909848986119138}",50.024116569014105,0.3982995787241773,48.82921783284157,2.3909848986119138,1.9147171991401883,2.3159679844796592,0.35400368921465875,1.6634524957209935
26,lcb,49.72,49.69,"{""approach_queue"": 1.632654908467897, ""exit_competition"": -1.8063674782614003, ""maneuver"": -1.6892997916988342, ""path_conflict"": 2.7376201680434824, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.136864568385178}",49.85317492532466,0.3168308064661108,48.90268250592633,2.136864568385178,-1.6892997916988342,-1.8063674782614003,2.7376201680434824,1.632654908467897
