run_index,scenario_seed,policy,total_agvs,north_agvs,south_agvs,west_agvs,east_agvs,shared_area_capacity,completed,total_time,spawn_plan_json,goal_plan_json
3,30003,fixed_heuristic,16,4,3,5,4,2,16,56,"{""EAST"": [3, 3, 5, 5], ""NORTH"": [0, 1, 4, 5], ""SOUTH"": [5, 8, 8], ""WEST"": [4, 5, 6, 7, 7]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
3,30003,bo_heuristic,16,4,3,5,4,2,16,56,"{""EAST"": [3, 3, 5, 5], ""NORTH"": [0, 1, 4, 5], ""SOUTH"": [5, 8, 8], ""WEST"": [4, 5, 6, 7, 7]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
4,30004,fcfs,16,6,3,4,3,2,16,59,"{""EAST"": [1, 3, 7], ""NORTH"": [1, 4, 4, 4, 7, 7], ""SOUTH"": [0, 5, 8], ""WEST"": [1, 2, 4, 5]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
4,30004,fixed_heuristic,16,6,3,4,3,2,16,58,"{""EAST"": [1, 3, 7], ""NORTH"": [1, 4, 4, 4, 7, 7], ""SOUTH"": [0, 5, 8], ""WEST"": [1, 2, 4, 5]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
4,30004,bo_heuristic,16,6,3,4,3,2,16,58,"{""EAST"": [1, 3, 7], ""NORTH"": [1, 4, 4, 4, 7, 7], ""SOUTH"": [0, 5, 8], ""WEST"": [1, 2, 4, 5]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
5,30005,fcfs,16,5,3,4,4,2,16,49,"{""EAST"": [1, 4, 5, 5], ""NORTH"": [0, 1, 2, 6, 7], ""SOUTH"": [1, 1, 7], ""WEST"": [1, 5, 5, 7]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
5,30005,fixed_heuristic,16,5,3,4,4,2,16,43,"{""EAST"": [1, 4, 5, 5], ""NORTH"": [0, 1, 2, 6, 7], ""SOUTH"": [1, 1, 7], ""WEST"": [1, 5, 5, 7]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
5,30005,bo_heuristic,16,5,3,4,4,2,16,43,"{""EAST"": [1, 4, 5, 5], ""NORTH"": [0, 1, 2, 6, 7], ""SOUTH"": [1, 1, 7], ""WEST"": [1, 5, 5, 7]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
6,30006,fcfs,16,4,4,5,3,2,16,45,"{""EAST"": [2, 3, 7], ""NORTH"": [0, 1, 6, 7], ""SOUTH"": [3, 3, 8, 8], ""WEST"": [1, 3, 6, 7, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
6,30006,fixed_heuristic,16,4,4,5,3,2,16,45,"{""EAST"": [2, 3, 7], ""NORTH"": [0, 1, 6, 7], ""SOUTH"": [3, 3, 8, 8], ""WEST"": [1, 3, 6, 7, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
6,30006,bo_heuristic,16,4,4,5,3,2,16,43,"{""EAST"": [2, 3, 7], ""NORTH"": [0, 1, 6, 7], ""SOUTH"": [3, 3, 8, 8], ""WEST"": [1, 3, 6, 7, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
7,30007,fcfs,16,4,6,3,3,2,16,66,"{""EAST"": [3, 8, 8], ""NORTH"": [2, 3, 5, 6], ""SOUTH"": [3, 3, 4, 6, 8, 8], ""WEST"": [0, 4, 8]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
7,30007,fixed_heuristic,16,4,6,3,3,2,16,60,"{""EAST"": [3, 8, 8], ""NORTH"": [2, 3, 5, 6], ""SOUTH"": [3, 3, 4, 6, 8, 8], ""WEST"": [0, 4, 8]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
7,30007,bo_heuristic,16,4,6,3,3,2,16,66,"{""EAST"": [3, 8, 8], ""NORTH"": [2, 3, 5, 6], ""SOUTH"": [3, 3, 4, 6, 8, 8], ""WEST"": [0, 4, 8]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
8,30008,fcfs,16,4,5,4,3,2,16,57,"{""EAST"": [3, 5, 6], ""NORTH"": [0, 3, 3, 7], ""SOUTH"": [0, 1, 5, 6, 7], ""WEST"": [0, 4, 7, 8]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT""]}"
8,30008,fixed_heuristic,16,4,5,4,3,2,16,47,"{""EAST"": [3, 5, 6], ""NORTH"": [0, 3, 3, 7], ""SOUTH"": [0, 1, 5, 6, 7], ""WEST"": [0, 4, 7, 8]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT""]}"
8,30008,bo_heuristic,16,4,5,4,3,2,16,47,"{""EAST"": [3, 5, 6], ""NORTH"": [0, 3, 3, 7], ""SOUTH"": [0, 1, 5, 6, 7], ""WEST"": [0, 4, 7, 8]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT""]}"
9,30009,fcfs,16,3,3,5,5,2,16,55,"{""EAST"": [0, 1, 3, 3, 6], ""NORTH"": [1, 5, 7], ""SOUTH"": [0, 4, 8], ""WEST"": [3, 5, 6, 6, 8]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
9,30009,fixed_heuristic,16,3,3,5,5,2,16,49,"{""EAST"": [0, 1, 3, 3, 6], ""NORTH"": [1, 5, 7], ""SOUTH"": [0, 4, 8], ""WEST"": [3, 5, 6, 6, 8]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
9,30009,bo_heuristic,16,3,3,5,5,2,16,49,"{""EAST"": [0, 1, 3, 3, 6], ""NORTH"": [1, 5, 7], ""SOUTH"": [0, 4, 8], ""WEST"": [3, 5, 6, 6, 8]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
10,30010,fcfs,16,6,5,3,2,2,16,50,"{""EAST"": [4, 5], ""NORTH"": [1, 3, 4, 6, 7, 8], ""SOUTH"": [0, 2, 2, 3, 4], ""WEST"": [2, 5, 6]}","{""EAST"": [""N_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
10,30010,fixed_heuristic,16,6,5,3,2,2,16,46,"{""EAST"": [4, 5], ""NORTH"": [1, 3, 4, 6, 7, 8], ""SOUTH"": [0, 2, 2, 3, 4], ""WEST"": [2, 5, 6]}","{""EAST"": [""N_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
10,30010,bo_heuristic,16,6,5,3,2,2,16,46,"{""EAST"": [4, 5], ""NORTH"": [1, 3, 4, 6, 7, 8], ""SOUTH"": [0, 2, 2, 3, 4], ""WEST"": [2, 5, 6]}","{""EAST"": [""N_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
11,30011,fcfs,16,5,3,4,4,2,16,54,"{""EAST"": [0, 3, 5, 5], ""NORTH"": [3, 3, 4, 7, 8], ""SOUTH"": [0, 4, 7], ""WEST"": [1, 2, 8, 8]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
11,30011,fixed_heuristic,16,5,3,4,4,2,16,45,"{""EAST"": [0, 3, 5, 5], ""NORTH"": [3, 3, 4, 7, 8], ""SOUTH"": [0, 4, 7], ""WEST"": [1, 2, 8, 8]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
11,30011,bo_heuristic,16,5,3,4,4,2,16,47,"{""EAST"": [0, 3, 5, 5], ""NORTH"": [3, 3, 4, 7, 8], ""SOUTH"": [0, 4, 7], ""WEST"": [1, 2, 8, 8]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
12,30012,fcfs,16,4,3,3,6,2,16,66,"{""EAST"": [3, 3, 4, 4, 5, 8], ""NORTH"": [0, 6, 6, 7], ""SOUTH"": [5, 5, 5], ""WEST"": [3, 4, 8]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
12,30012,fixed_heuristic,16,4,3,3,6,2,16,57,"{""EAST"": [3, 3, 4, 4, 5, 8], ""NORTH"": [0, 6, 6, 7], ""SOUTH"": [5, 5, 5], ""WEST"": [3, 4, 8]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
12,30012,bo_heuristic,16,4,3,3,6,2,16,57,"{""EAST"": [3, 3, 4, 4, 5, 8], ""NORTH"": [0, 6, 6, 7], ""SOUTH"": [5, 5, 5], ""WEST"": [3, 4, 8]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
13,30013,fcfs,16,4,4,4,4,2,16,58,"{""EAST"": [0, 0, 2, 6], ""NORTH"": [3, 4, 5, 7], ""SOUTH"": [0, 0, 3, 8], ""WEST"": [0, 2, 7, 8]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
13,30013,fixed_heuristic,16,4,4,4,4,2,16,52,"{""EAST"": [0, 0, 2, 6], ""NORTH"": [3, 4, 5, 7], ""SOUTH"": [0, 0, 3, 8], ""WEST"": [0, 2, 7, 8]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
13,30013,bo_heuristic,16,4,4,4,4,2,16,52,"{""EAST"": [0, 0, 2, 6], ""NORTH"": [3, 4, 5, 7], ""SOUTH"": [0, 0, 3, 8], ""WEST"": [0, 2, 7, 8]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
