seed,policy_type,num_robots,num_aisles,capacity,arrival_rate,Favg,Fmax,Throughput,BlockingTime,AvgQueueLength,DeadlockCount,TriggerCount,RerouteCount,CollisionAttempts,ForcedRelocationCount,RobotUtilization,AverageTravelDistance,Zone0AvgQueueLength,Zone1AvgQueueLength,Zone2AvgQueueLength,Zone3AvgQueueLength,Zone4AvgQueueLength
0,fsd,4,12,small,low,31.923076923076923,64.0,39.0,23.0,0.014,0.0,12.0,0.0,13,0,0.6535,321.0,0.0,0.014,0.0,0.0,
0,rule_based,4,12,small,medium,55.36842105263158,230.0,38.0,680.0,10.144,0.0,0.0,68.0,340,0,0.966,313.0,3.312,2.74,3.576,0.516,
0,fsd,4,12,small,medium,86.04166666666667,171.0,48.0,67.0,6.294,0.0,31.0,0.0,43,0,0.9655,466.0,2.088,0.978,1.958,1.27,
0,rule_based,4,12,small,high,50.06349206349206,192.0,63.0,197.0,13.984,1.0,0.0,24.0,108,1,0.971,436.25,0.926,4.31,8.392,0.356,
0,fsd,4,12,small,high,114.27118644067797,261.0,59.0,70.0,18.264,0.0,31.0,0.0,43,0,0.9775,471.25,1.542,6.798,9.092,0.832,
0,rule_based,4,12,large,low,54.62162162162162,218.0,37.0,147.0,1.092,0.0,0.0,23.0,73,0,0.8835,405.0,0.386,0.16,0.308,0.238,
0,fsd,4,12,large,low,46.3421052631579,72.0,38.0,42.0,0.192,0.0,18.0,0.0,27,0,0.8845,431.75,0.018,0.05,0.052,0.072,
0,rule_based,4,12,large,medium,65.6774193548387,255.0,31.0,332.0,12.104,0.0,0.0,52.0,169,0,0.976,405.0,4.72,1.44,1.782,4.162,
0,fsd,4,12,large,medium,133.47222222222223,247.0,36.0,85.0,11.714,0.0,39.0,0.0,49,0,0.976,466.75,3.416,1.84,1.902,4.556,
0,rule_based,4,12,large,high,60.78048780487805,280.0,41.0,332.0,23.434,0.0,0.0,49.0,170,0,0.985,409.5,1.69,7.34,12.408,1.996,
0,fsd,4,12,large,high,171.17073170731706,329.0,41.0,71.0,28.176,0.0,33.0,0.0,43,0,0.985,474.75,1.882,9.378,14.088,2.828,
0,rule_based,5,6,small,low,27.9,99.0,40.0,148.0,0.0,3.0,0.0,22.0,60,3,0.4624,201.6,0.0,0.0,0.0,0.0,0.0
0,fsd,5,6,small,low,23.35,44.0,40.0,17.0,0.0,0.0,10.0,0.0,7,0,0.4004,196.8,0.0,0.0,0.0,0.0,0.0
0,rule_based,5,6,small,medium,46.56140350877193,160.0,57.0,371.0,1.368,1.0,0.0,47.0,195,1,0.9128,380.2,0.2,0.39,0.198,0.27,0.31
0,fsd,5,6,small,medium,38.6,78.0,55.0,160.0,0.444,0.0,63.0,2.0,98,0,0.8792,407.6,0.182,0.116,0.062,0.048,0.036
0,rule_based,5,6,small,high,47.89230769230769,224.0,65.0,620.0,16.548,0.0,0.0,82.0,321,0,0.9436,347.8,1.262,2.53,3.86,7.306,1.59
0,fsd,5,6,small,high,93.42424242424242,258.0,66.0,220.0,13.878,0.0,96.0,2.0,140,0,0.9468,429.4,1.204,4.554,2.61,5.074,0.436
